2019-05-16 17:45:27: Cannot Connect to https://mediator.goodsync.com/Z_time_checker.php: [connecting mediator.goodsync.com:443]: Time out
2019-05-16 17:46:11: -- 分析开始 User Command
2019-05-16 17:57:17: 变更：1,336， 冲突：0， 复制时间：0， 复制状态：1， 错误： 0, All: 10992
2019-05-16 17:57:17: Left to Right: Copy File: 1336 
2019-05-16 17:58:46: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_datatypes.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_datatypes.beam' (9,940)
2019-05-16 17:58:48: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_duration.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_duration.beam' (3,524)
2019-05-16 17:58:50: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_duration_parse.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_duration_parse.beam' (11,760)
2019-05-16 17:58:51: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_effective.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_effective.beam' (5,096)
2019-05-16 17:58:53: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_enum.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_enum.beam' (4,084)
2019-05-16 17:58:55: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_error.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_error.beam' (8,296)
2019-05-16 17:58:57: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_escript.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_escript.beam' (21,868)
2019-05-16 17:58:58: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_flag.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_flag.beam' (1,524)
2019-05-16 17:59:00: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_generator.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_generator.beam' (23,044)
2019-05-16 17:59:02: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_mapping.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_mapping.beam' (8,144)
